Entity,Code,Year,Rate,Name,PT,ImageURL,Label
Moldova,MDA,2016,15.2,Moldova,Moldova,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,Moldova (1º)
Lithuania,LTU,2016,15.0,Lithuania,Lituânia,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg,Lituânia (2º)
Czech Republic,CZE,2016,14.4,Czech Republic,República Checa,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,República Checa (3º)
Germany,DEU,2016,13.4,Germany,Alemanha,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Alemanha (4º)
Nigeria,NGA,2016,13.4,Nigeria,Nigéria,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,Nigéria (5º)
Ireland,IRL,2016,13.0,Ireland,Irlanda,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Irlanda (6º)
Luxembourg,LUX,2016,13.0,Luxembourg,Luxemburgo,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,Luxemburgo (7º)
Latvia,LVA,2016,12.9,Latvia,Letônia,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,Letônia (8º)
Bulgaria,BGR,2016,12.7,Bulgaria,Bulgária,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,Bulgária (9º)
Brazil,BRA,2016,7.8,Brazil,Brasil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Brasil (83º)
