,Country Name,2018
0,Saudi Arabia,8.77471912659104
1,Oman,8.17129950109292
2,Arab World,5.64937211093433
3,Middle East & North Africa,5.475542462949769
4,Algeria,5.27141404556567
5,Kuwait,5.05553177566242
6,Lebanon,4.993891315784589
7,Armenia,4.77833758658911
8,Jordan,4.682528726008179
9,Israel,4.34810126356225
10,Pakistan,4.025735628755
11,Russian Federation,3.92951108949691
12,Ukraine,3.7828029528703397
13,Azerbaijan,3.77369409189023
14,Bahrain,3.5954853914712994
15,Uzbekistan,3.5554825523167004
16,Namibia,3.3496331905387997
17,Colombia,3.1725602157456203
18,United States,3.16286487973421
19,Singapore,3.14363241619433
