,Area,Element,Year,Unit,Value,PT,ImageURL
0,Brazil,Stocks,2018,Head,213523056,Brasil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg
1,India,Stocks,2018,Head,184464035,Índia,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg
2,United States of America,Stocks,2018,Head,94298000,Estados Unidos,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
3,China,Stocks,2018,Head,63417928,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg
5,Ethiopia,Stocks,2018,Head,62599736,Etiópia,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
6,Argentina,Stocks,2018,Head,53928990,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg
7,Pakistan,Stocks,2018,Head,46084000,Paquistão,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg
8,Mexico,Stocks,2018,Head,34820271,México,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg
9,Sudan,Stocks,2018,Head,31223000,Sudão,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg
10,Chad,Stocks,2018,Head,29063152,Chade,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg
